,ch1_shell_abs0_pres1,ch2_shelltype_0noshell_1external_2valves_3internal_4plates
Lingula_anatina,1,2
Urechis_unicinctus,0,0
Aplysia_californica,1,3
Concholepas_concholepas,1,1
Tectura_virginea,1,1
Haliotis_cracherodii,1,1
Pictodentalium_vernedei,1,1
Fustiaria_rubescens,1,1
Siphonodentalium_dalli,1,1
Scintilla_philippinensis,1,2
Verpa_penis,1,2
Solemya_velum,1,2
Nautilus_pompilius,1,1
Sepiola_atlantica,1,3
Octopus_vulgaris,0,0
Veleropilina_oligotropha,1,1
Epimenia_babai,0,0
Neomenia_megatrapezata,0,0
Chaetoderma_nitidum,0,0
Deshayesiella_sirenkoi,0,0
Acanthochitona_discrepans,1,4
Callochiton_septemvalvis,1,4